NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
#,G0446,,22.92,21.77,25.04
,G0447,,25.51,24.23,27.86
#,G0447,,22.60,21.47,24.69
,G0451,,11.54,10.96,12.60
,G0452,,48.70,46.27,53.21
,G0452,TC,3.47,3.30,3.80
,G0452,26,45.23,42.97,49.42
,G0453,,32.20,30.59,35.18
,G0454,,8.73,8.29,9.53
,G0455,,131.22,124.66,143.36
#,G0455,,71.82,68.23,78.46
,G0459,,42.41,40.29,46.33
,G0473,,12.31,11.69,13.44
#,G0473,,11.34,10.77,12.39
,G0498,,162.29,154.18,177.31
,G0500,,56.31,53.49,61.51
#,G0500,,6.26,5.95,6.84
,G0506,,62.62,59.49,68.41
#,G0506,,44.22,42.01,48.31
,G0508,,207.96,197.56,227.19
,G0509,,192.15,182.54,209.92
,G0513,,63.59,60.41,69.47
#,G0513,,59.39,56.42,64.88
,G0514,,63.91,60.71,69.82
#,G0514,,59.71,56.72,65.23
,G0516,,194.14,184.43,212.09
#,G0516,,96.31,91.49,105.21
,G0517,,215.52,204.74,235.45
#,G0517,,109.62,104.14,119.76
,G0518,,377.00,358.15,411.87
#,G0518,,180.06,171.06,196.72
,G2001,,49.54,47.06,54.12
,G2002,,73.79,70.10,80.62
,G2003,,120.84,114.80,132.02
,G2004,,158.75,150.81,173.43
,G2005,,209.09,198.64,228.44
,G2006,,48.57,46.14,53.06
,G2007,,78.33,74.41,85.57
,G2008,,123.94,117.74,135.40
,G2009,,175.46,166.69,191.69
,G2010,,12.29,11.68,13.43
#,G2010,,9.06,8.61,9.90
,G2011,,17.05,16.20,18.63
,G2012,,14.18,13.47,15.49
#,G2012,,12.89,12.25,14.09
,G2013,,209.09,198.64,228.44
,G2014,,74.77,71.03,81.68
,G2015,,104.77,99.53,114.46
,G2082,,830.11,788.60,906.89
#,G2082,,36.21,34.40,39.56
,G2083,,1177.51,1118.63,1286.42
#,G2083,,36.21,34.40,39.56
,G2086,,466.61,443.28,509.77
#,G2086,,404.94,384.69,442.39
,G2087,,432.77,411.13,472.80
#,G2087,,391.77,372.18,428.01
,G2088,,58.48,55.56,63.89
#,G2088,,38.46,36.54,42.02
,G2211,,16.48,15.66,18.01
,G2212,,32.86,31.22,35.90
#,G2212,,31.56,29.98,34.48
,G2213,,65.03,61.78,71.05
#,G2213,,61.47,58.40,67.16
,G2214,,57.16,54.30,62.45
#,G2214,,38.43,36.51,41.99
,G2250,,12.29,11.68,13.43
