NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
#,G0506,,45.32,43.05,49.51
,G0508,,213.62,202.94,233.38
,G0509,,195.85,186.06,213.97
,G0513,,65.35,62.08,71.39
#,G0513,,60.98,57.93,66.62
,G0514,,65.35,62.08,71.39
#,G0514,,61.32,58.25,66.99
,G0516,,202.70,192.57,221.46
#,G0516,,99.16,94.20,108.33
,G0517,,224.52,213.29,245.28
#,G0517,,112.58,106.95,122.99
,G0518,,393.15,373.49,429.51
#,G0518,,185.07,175.82,202.19
,G2001,,49.94,47.44,54.56
,G2002,,75.20,71.44,82.16
,G2003,,124.46,118.24,135.98
,G2004,,165.06,156.81,180.33
,G2005,,214.94,204.19,234.82
,G2006,,48.92,46.47,53.44
,G2007,,79.91,75.91,87.30
,G2008,,127.57,121.19,139.37
,G2009,,180.76,171.72,197.48
,G2010,,12.38,11.76,13.52
#,G2010,,9.35,8.88,10.21
,G2011,,17.02,16.17,18.60
,G2012,,14.65,13.92,16.01
#,G2012,,12.97,12.32,14.17
,G2013,,214.94,204.19,234.82
,G2014,,77.26,73.40,84.41
,G2015,,107.91,102.51,117.89
,G2066,,38.03,36.13,41.55
,G2082,,826.74,785.40,903.21
#,G2082,,36.76,34.92,40.16
,G2083,,1173.32,1114.65,1281.85
#,G2083,,36.76,34.92,40.16
,G2086,,391.87,372.28,428.12
#,G2086,,290.02,275.52,316.85
,G2087,,358.60,340.67,391.77
#,G2087,,310.19,294.68,338.88
,G2088,,61.31,58.24,66.98
#,G2088,,36.10,34.30,39.45
,G2212,,33.02,31.37,36.08
#,G2212,,32.01,30.41,34.97
,G2213,,71.28,67.72,77.88
#,G2213,,67.24,63.88,73.46
,G2214,,59.28,56.32,64.77
#,G2214,,38.78,36.84,42.37
,G2250,,12.38,11.76,13.52
#,G2250,,9.35,8.88,10.21
,G2251,,14.65,13.92,16.01
#,G2251,,12.97,12.32,14.17
,G2252,,27.61,26.23,30.16
#,G2252,,26.27,24.96,28.70
,G3002,,83.03,78.88,90.71
#,G3002,,75.64,71.86,82.64
,G3003,,30.30,28.79,33.11
#,G3003,,26.27,24.96,28.70
,G6001,,182.04,172.94,198.88
,G6001,TC,149.82,142.33,163.68
,G6001,26,32.22,30.61,35.20
,G6002,,75.76,71.97,82.77
,G6002,TC,54.69,51.96,59.75
,G6002,26,21.07,20.02,23.02
,G6003,,153.86,146.17,168.10
,G6004,,129.99,123.49,142.01
,G6005,,130.32,123.80,142.37
,G6006,,129.65,123.17,141.65
,G6007,,239.58,227.60,261.74
,G6008,,179.63,170.65,196.25
,G6009,,178.96,170.01,195.51
,G6010,,177.95,169.05,194.41
,G6011,,239.47,227.50,261.63
,G6012,,236.78,224.94,258.68
,G6013,,237.45,225.58,259.42
,G6014,,236.11,224.30,257.95
,G6015,,362.96,344.81,396.53
,G6016,,361.27,343.21,394.69
,G6017,,71.37,67.80,77.97
,G9157,,98.18,93.27,107.26
,G9187,,46.69,44.36,51.01
,G9481,,19.66,18.68,21.48
,G9482,,36.04,34.24,39.38
,G9483,,57.74,54.85,63.08
,G9484,,95.36,90.59,104.18
,G9485,,124.97,118.72,136.53
,G9486,,19.66,18.68,21.48
,G9487,,38.53,36.60,42.09
,G9488,,58.75,55.81,64.18
,G9489,,82.82,78.68,90.48
,G9490,,46.12,43.81,50.38
,G9685,,193.27,183.61,211.15
,G9868,,27.11,25.75,29.61
,G9869,,36.26,34.45,39.62
,G9870,,45.41,43.14,49.61
,G9978,,29.41,27.94,32.13
,G9979,,49.83,47.34,54.44
,G9980,,80.60,76.57,88.06
,G9981,,132.68,126.05,144.96
,G9982,,176.73,167.89,193.07
,G9983,,29.41,27.94,32.13
,G9984,,57.02,54.17,62.30
,G9985,,86.32,82.00,94.30
,G9986,,124.17,117.96,135.65
,G9987,,46.69,44.36,51.01
,P3001,,23.16,22.00,25.30
,Q0035,,17.99,17.09,19.65
,Q0035,TC,9.64,9.16,10.53
,Q0035,26,8.34,7.92,9.11
,Q0091,,43.92,41.72,47.98
#,Q0091,,18.71,17.77,20.44
,Q0092,,25.11,23.85,27.43
,R0070,,176.20,167.39,192.50
,R0075,,176.20,167.39,192.50
,0042T,,313.35,297.68,342.33
,0054T,,170.31,161.79,186.06
,0055T,,283.12,268.96,309.30
,0071T,,1959.72,1861.73,2140.99
#,0071T,,407.48,387.11,445.18
,0075T,,1186.62,1127.29,1296.38
,0075T,TC,795.04,755.29,868.58
,0075T,26,391.59,372.01,427.81
,0076T,,593.32,563.65,648.20
,0076T,TC,403.46,383.29,440.78
,0076T,26,189.86,180.37,207.43
,0095T,,2804.22,2664.01,3063.61
,0101T,,349.33,331.86,381.64
#,0101T,,245.33,233.06,268.02
,0106T,,99.97,94.97,109.22
,0110T,,99.97,94.97,109.22
,0174T,,78.34,74.42,85.58
,0184T,,1158.25,1100.34,1265.39
,0200T,,1955.38,1857.61,2136.25
#,0200T,,432.79,411.15,472.82
,0201T,,1955.38,1857.61,2136.25
#,0201T,,432.79,411.15,472.82
,0202T,,1150.33,1092.81,1256.73
,0207T,,69.87,66.38,76.34
#,0207T,,53.82,51.13,58.80
,0208T,,33.30,31.64,36.39
,0213T,,206.26,195.95,225.34
#,0213T,,117.86,111.97,128.77
,0214T,,104.08,98.88,113.71
#,0214T,,67.29,63.93,73.52
,0215T,,104.81,99.57,114.51
#,0215T,,68.03,64.63,74.32
,0216T,,186.75,177.41,204.02
#,0216T,,99.46,94.49,108.66
,0217T,,96.47,91.65,105.40
#,0217T,,57.84,54.95,63.19
,0218T,,96.47,91.65,105.40
#,0218T,,58.58,55.65,64.00
,0219T,,1525.26,1449.00,1666.35
,0221T,,1870.51,1776.98,2043.53
,0222T,,470.58,447.05,514.11
,0232T,,228.77,217.33,249.93
,0234T,,2075.11,1971.35,2267.05
#,0234T,,454.16,431.45,496.17
,0236T,,2075.11,1971.35,2267.05
#,0236T,,454.16,431.45,496.17
,0237T,,2075.11,1971.35,2267.05
#,0237T,,454.16,431.45,496.17
