NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
,27640,,891.67,847.09,974.15
,27641,,696.94,662.09,761.40
,27645,,1905.75,1810.46,2082.03
,27646,,1654.21,1571.50,1807.23
,27647,,1031.66,980.08,1127.09
,27648,,220.51,209.48,240.90
#,27648,,53.78,51.09,58.75
,27650,,699.02,664.07,763.68
,27652,,699.96,664.96,764.70
,27654,,758.97,721.02,829.17
,27656,,559.45,531.48,611.20
#,27656,,366.15,347.84,400.02
,27658,,391.64,372.06,427.87
,27659,,497.39,472.52,543.40
,27664,,386.61,367.28,422.37
,27665,,447.18,424.82,488.54
,27675,,527.65,501.27,576.46
,27676,,646.45,614.13,706.25
,27680,,443.91,421.71,484.97
,27681,,538.04,511.14,587.81
,27685,,684.73,650.49,748.06
#,27685,,492.44,467.82,537.99
,27686,,560.10,532.10,611.92
,27687,,480.83,456.79,525.31
,27690,,676.56,642.73,739.14
,27691,,792.67,753.04,866.00
,27692,,107.24,101.88,117.16
,27695,,515.04,489.29,562.68
,27696,,580.58,551.55,634.28
,27698,,682.60,648.47,745.74
,27700,,647.19,614.83,707.05
,27702,,1030.87,979.33,1126.23
,27703,,1193.31,1133.64,1303.69
,27704,,607.40,577.03,663.58
,27705,,809.95,769.45,884.87
,27707,,432.62,410.99,472.64
,27709,,1219.07,1158.12,1331.84
,27712,,1187.70,1128.32,1297.57
,27715,,1156.98,1099.13,1264.00
,27720,,939.32,892.35,1026.20
,27722,,964.29,916.08,1053.49
,27724,,1356.10,1288.30,1481.55
,27725,,1309.20,1243.74,1430.30
,27726,,1031.61,980.03,1127.03
,27727,,1121.21,1065.15,1224.92
,27730,,635.73,603.94,694.53
,27732,,490.21,465.70,535.56
,27734,,711.01,675.46,776.78
,27740,,765.55,727.27,836.36
,27742,,839.34,797.37,916.98
,27745,,813.81,773.12,889.09
,27750,,375.20,356.44,409.91
#,27750,,349.32,331.85,381.63
,27752,,580.61,551.58,634.32
#,27752,,533.21,506.55,582.53
,27756,,622.27,591.16,679.83
,27758,,966.00,917.70,1055.36
,27759,,1075.31,1021.54,1174.77
,27760,,356.39,338.57,389.36
#,27760,,329.83,313.34,360.34
,27762,,523.36,497.19,571.77
#,27762,,474.61,450.88,518.51
,27766,,651.99,619.39,712.30
,27767,,313.51,297.83,342.50
#,27767,,311.83,296.24,340.68
,27768,,484.25,460.04,529.05
,27769,,782.61,743.48,855.00
,27780,,333.54,316.86,364.39
#,27780,,307.99,292.59,336.48
,27781,,473.95,450.25,517.79
#,27781,,437.31,415.44,477.76
,27784,,765.08,726.83,835.85
,27786,,337.28,320.42,368.48
#,27786,,310.06,294.56,338.74
,27788,,460.40,437.38,502.99
#,27788,,418.04,397.14,456.71
,27792,,692.97,658.32,757.07
,27808,,360.27,342.26,393.60
#,27808,,329.68,313.20,360.18
,27810,,514.24,488.53,561.81
#,27810,,465.16,441.90,508.19
,27814,,822.90,781.76,899.02
,27816,,355.70,337.92,388.61
#,27816,,317.38,301.51,346.74
,27818,,534.10,507.40,583.51
#,27818,,478.97,455.02,523.27
,27822,,936.28,889.47,1022.89
,27823,,1056.59,1003.76,1154.32
,27824,,342.78,325.64,374.49
#,27824,,330.00,313.50,360.53
,27825,,590.38,560.86,644.99
#,27825,,534.91,508.16,584.38
,27826,,914.47,868.75,999.06
,27827,,1203.25,1143.09,1314.55
,27828,,1427.29,1355.93,1559.32
,27829,,756.51,718.68,826.48
,27830,,421.61,400.53,460.61
#,27830,,390.35,370.83,426.45
,27831,,442.30,420.19,483.22
,27832,,817.42,776.55,893.03
,27840,,420.46,399.44,459.36
,27842,,529.87,503.38,578.89
,27846,,771.15,732.59,842.48
,27848,,842.47,800.35,920.40
,27860,,174.19,165.48,190.30
,27870,,1081.38,1027.31,1181.41
,27871,,743.03,705.88,811.76
,27880,,985.42,936.15,1076.57
,27881,,927.79,881.40,1013.61
,27882,,647.26,614.90,707.14
,27884,,628.77,597.33,686.93
,27886,,705.13,669.87,770.35
,27888,,691.24,656.68,755.18
,27889,,691.34,656.77,755.29
,27892,,578.10,549.20,631.58
,27893,,662.25,629.14,723.51
,27894,,880.47,836.45,961.92
,28001,,176.46,167.64,192.79
#,28001,,100.48,95.46,109.78
,28002,,253.58,240.90,277.04
#,28002,,146.01,138.71,159.52
,28003,,396.76,376.92,433.46
#,28003,,274.73,260.99,300.14
,28005,,594.59,564.86,649.59
,28008,,439.27,417.31,479.91
#,28008,,305.81,290.52,334.10
,28010,,240.52,228.49,262.76
#,28010,,214.63,203.90,234.49
,28011,,324.64,308.41,354.67
#,28011,,288.67,274.24,315.38
,28020,,567.54,539.16,620.03
#,28020,,388.37,368.95,424.29
,28022,,500.58,475.55,546.88
#,28022,,341.57,324.49,373.16
,28024,,470.53,447.00,514.05
#,28024,,318.59,302.66,348.06
,28035,,547.15,519.79,597.76
#,28035,,377.05,358.20,411.93
,28039,,499.13,474.17,545.30
#,28039,,358.95,341.00,392.15
,28041,,472.57,448.94,516.28
,28043,,393.81,374.12,430.24
#,28043,,270.77,257.23,295.81
,28045,,495.37,470.60,541.19
#,28045,,362.25,344.14,395.76
,28046,,746.27,708.96,815.30
,28047,,1098.43,1043.51,1200.04
,28050,,424.05,402.85,463.28
#,28050,,287.91,273.51,314.54
,28052,,395.92,376.12,432.54
#,28052,,262.80,249.66,287.11
,28054,,372.58,353.95,407.04
#,28054,,240.80,228.76,263.07
,28055,,400.06,380.06,437.07
,28060,,531.68,505.10,580.87
#,28060,,374.36,355.64,408.99
,28062,,591.44,561.87,646.15
#,28062,,420.00,399.00,458.85
,28070,,521.32,495.25,569.54
#,28070,,358.29,340.38,391.44
,28072,,504.15,478.94,550.78
#,28072,,339.76,322.77,371.19
,28080,,546.19,518.88,596.71
#,28080,,392.22,372.61,428.50
,28086,,549.42,521.95,600.24
#,28086,,372.26,353.65,406.70
,28088,,472.19,448.58,515.87
#,28088,,304.44,289.22,332.60
,28090,,477.39,453.52,521.55
#,28090,,321.07,305.02,350.77
,28092,,431.07,409.52,470.95
#,28092,,281.48,267.41,307.52
,28100,,637.29,605.43,696.24
#,28100,,442.66,420.53,483.61
,28102,,659.46,626.49,720.46
,28103,,400.45,380.43,437.49
,28104,,539.06,512.11,588.93
#,28104,,369.30,350.84,403.47
,28106,,439.43,417.46,480.08
,28107,,515.57,489.79,563.26
#,28107,,357.57,339.69,390.64
,28108,,443.54,421.36,484.56
#,28108,,298.32,283.40,325.91
,28110,,470.22,446.71,513.72
#,28110,,303.48,288.31,331.56
,28111,,490.59,466.06,535.97
#,28111,,333.93,317.23,364.81
,28112,,496.04,471.24,541.93
#,28112,,327.62,311.24,357.93
,28113,,600.13,570.12,655.64
#,28113,,442.47,420.35,483.40
,28114,,1109.80,1054.31,1212.46
#,28114,,881.21,837.15,962.72
,28116,,811.70,771.12,886.79
#,28116,,621.09,590.04,678.55
,28118,,623.56,592.38,681.24
#,28118,,442.37,420.25,483.29
,28119,,538.45,511.53,588.26
#,28119,,378.77,359.83,413.80
,28120,,697.14,662.28,761.62
#,28120,,522.67,496.54,571.02
,28122,,609.68,579.20,666.08
#,28122,,457.40,434.53,499.71
,28124,,486.46,462.14,531.46
#,28124,,345.27,328.01,377.21
,28126,,399.43,379.46,436.38
#,28126,,258.58,245.65,282.50
,28130,,637.66,605.78,696.65
,28140,,593.98,564.28,648.92
#,28140,,450.78,428.24,492.48
,28150,,428.19,406.78,467.80
#,28150,,289.35,274.88,316.11
,28153,,414.15,393.44,452.46
#,28153,,273.29,259.63,298.57
,28160,,417.09,396.24,455.68
#,28160,,275.90,262.11,301.43
,28171,,1193.97,1134.27,1304.41
,28173,,751.42,713.85,820.93
,28175,,485.12,460.86,529.99
,28190,,246.61,234.28,269.42
#,28190,,137.02,130.17,149.70
,28192,,469.59,446.11,513.03
#,28192,,321.68,305.60,351.44
,28193,,534.03,507.33,583.43
#,28193,,379.40,360.43,414.49
,28200,,508.86,483.42,555.93
#,28200,,342.12,325.01,373.76
,28202,,617.13,586.27,674.21
#,28202,,447.70,425.32,489.12
,28208,,501.96,476.86,548.39
#,28208,,337.92,321.02,369.17
,28210,,616.02,585.22,673.00
#,28210,,446.26,423.95,487.54
,28220,,460.93,437.88,503.56
#,28220,,316.38,300.56,345.64
,28222,,542.32,515.20,592.48
#,28222,,379.96,360.96,415.10
,28225,,423.69,402.51,462.89
#,28225,,275.11,261.35,300.55
,28226,,646.78,614.44,706.61
#,28226,,428.27,406.86,467.89
,28230,,444.48,422.26,485.60
#,28230,,296.57,281.74,324.00
,28232,,384.34,365.12,419.89
#,28232,,248.54,236.11,271.53
,28234,,418.11,397.20,456.78
#,28234,,278.27,264.36,304.01
,28238,,697.95,663.05,762.51
#,28238,,515.42,489.65,563.10
,28240,,454.72,431.98,496.78
#,28240,,305.46,290.19,333.72
,28250,,609.44,578.97,665.82
#,28250,,433.62,411.94,473.73
,28260,,749.92,712.42,819.28
#,28260,,564.36,536.14,616.56
,28261,,1276.07,1212.27,1394.11
#,28261,,1010.84,960.30,1104.35
,28262,,1480.34,1406.32,1617.27
#,28262,,1206.70,1146.37,1318.33
,28264,,916.62,870.79,1001.41
#,28264,,714.59,678.86,780.69
,28270,,498.68,473.75,544.81
#,28270,,347.41,330.04,379.55
,28272,,389.50,370.03,425.53
#,28272,,258.40,245.48,282.30
,28280,,524.04,497.84,572.52
#,28280,,362.68,344.55,396.23
,28285,,552.71,525.07,603.83
#,28285,,400.76,380.72,437.83
,28286,,449.70,427.22,491.30
#,28286,,306.16,290.85,334.48
,28288,,620.31,589.29,677.68
#,28288,,452.23,429.62,494.06
,28289,,709.49,674.02,775.12
#,28289,,482.24,458.13,526.85
,28291,,716.26,680.45,782.52
#,28291,,504.82,479.58,551.52
,28292,,714.08,678.38,780.14
#,28292,,502.30,477.19,548.77
,28295,,1106.51,1051.18,1208.86
#,28295,,643.28,611.12,702.79
,28296,,905.59,860.31,989.36
#,28296,,532.11,505.50,581.33
,28297,,1059.36,1006.39,1157.35
#,28297,,632.44,600.82,690.94
,28298,,857.13,814.27,936.41
#,28298,,529.04,502.59,577.98
,28299,,1036.12,984.31,1131.96
#,28299,,618.61,587.68,675.83
,28300,,693.87,659.18,758.06
,28302,,773.44,734.77,844.99
,28304,,866.45,823.13,946.60
#,28304,,651.31,618.74,711.55
,28305,,708.52,673.09,774.05
,28306,,629.34,597.87,687.55
#,28306,,426.97,405.62,466.46
,28307,,824.63,783.40,900.91
#,28307,,556.38,528.56,607.84
,28308,,587.22,557.86,641.54
#,28308,,404.35,384.13,441.75
,28309,,958.08,910.18,1046.71
,28310,,558.87,530.93,610.57
#,28310,,377.68,358.80,412.62
,28312,,549.43,521.96,600.25
#,28312,,354.46,336.74,387.25
,28313,,546.35,519.03,596.88
#,28313,,378.94,359.99,413.99
,28315,,492.77,468.13,538.35
#,28315,,340.83,323.79,372.36
,28320,,649.17,616.71,709.22
,28322,,823.38,782.21,899.54
#,28322,,614.62,583.89,671.47
,28340,,578.99,550.04,632.55
#,28340,,422.34,401.22,461.40
,28341,,672.94,639.29,735.18
#,28341,,502.50,477.38,548.99
,28344,,427.08,405.73,466.59
#,28344,,288.25,273.84,314.92
,28345,,522.51,496.38,570.84
#,28345,,373.59,354.91,408.15
,28360,,1183.54,1124.36,1293.01
,28400,,262.70,249.57,287.01
#,28400,,244.55,232.32,267.17
,28405,,486.34,462.02,531.32
#,28405,,438.94,416.99,479.54
,28406,,602.61,572.48,658.35
,28415,,1199.48,1139.51,1310.44
,28420,,1395.98,1326.18,1525.11
,28430,,255.05,242.30,278.65
#,28430,,224.79,213.55,245.58
,28435,,398.37,378.45,435.22
#,28435,,354.67,336.94,387.48
,28436,,530.78,504.24,579.88
,28445,,1111.17,1055.61,1213.95
,28446,,1320.53,1254.50,1442.68
,28450,,222.23,211.12,242.79
#,28450,,201.73,191.64,220.39
,28455,,308.23,292.82,336.74
#,28455,,275.62,261.84,301.12
,28456,,393.96,374.26,430.40
,28465,,670.68,637.15,732.72
,28470,,229.63,218.15,250.87
#,28470,,216.18,205.37,236.18
,28475,,272.07,258.47,297.24
#,28475,,240.14,228.13,262.35
,28476,,409.61,389.13,447.50
,28485,,591.28,561.72,645.98
,28490,,149.11,141.65,162.90
#,28490,,131.96,125.36,144.16
,28495,,186.35,177.03,203.58
#,28495,,156.09,148.29,170.53
,28496,,468.72,445.28,512.07
#,28496,,261.65,248.57,285.86
,28505,,677.20,643.34,739.84
#,28505,,520.55,494.52,568.70
,28510,,126.90,120.56,138.64
#,28510,,126.23,119.92,137.91
,28515,,171.63,163.05,187.51
#,28515,,150.45,142.93,164.37
,28525,,586.71,557.37,640.98
#,28525,,425.02,403.77,464.34
,28530,,120.48,114.46,131.63
#,28530,,105.02,99.77,114.74
,28531,,334.16,317.45,365.07
#,28531,,186.25,176.94,203.48
,28540,,202.73,192.59,221.48
#,28540,,182.56,173.43,199.44
,28545,,331.23,314.67,361.87
#,28545,,291.56,276.98,318.53
,28546,,611.32,580.75,667.86
#,28546,,375.00,356.25,409.69
,28555,,910.66,865.13,994.90
#,28555,,707.28,671.92,772.71
,28570,,250.55,238.02,273.72
#,28570,,210.89,200.35,230.40
,28575,,406.20,385.89,443.77
#,28575,,365.86,347.57,399.71
,28576,,416.14,395.33,454.63
,28585,,921.48,875.41,1006.72
#,28585,,734.58,697.85,802.53
,28600,,229.73,218.24,250.98
#,28600,,196.45,186.63,214.62
,28605,,365.73,347.44,399.56
#,28605,,327.41,311.04,357.70
,28606,,411.07,390.52,449.10
,28615,,878.24,834.33,959.48
,28630,,162.76,154.62,177.81
#,28630,,118.05,112.15,128.97
,28635,,183.64,174.46,200.63
#,28635,,140.95,133.90,153.99
,28636,,323.92,307.72,353.88
#,28636,,209.96,199.46,229.38
,28645,,671.56,637.98,733.68
#,28645,,507.51,482.13,554.45
,28660,,131.80,125.21,143.99
#,28660,,99.53,94.55,108.73
,28665,,154.60,146.87,168.90
#,28665,,129.72,123.23,141.71
,28666,,182.47,173.35,199.35
,28675,,596.71,566.87,651.90
#,28675,,433.33,411.66,473.41
,28705,,1299.66,1234.68,1419.88
,28715,,1002.76,952.62,1095.51
,28725,,827.42,786.05,903.96
,28730,,772.60,733.97,844.07
,28735,,827.79,786.40,904.36
,28737,,723.03,686.88,789.91
,28740,,862.12,819.01,941.86
#,28740,,652.02,619.42,712.33
,28750,,813.22,772.56,888.44
#,28750,,608.50,578.08,664.79
,28755,,519.21,493.25,567.24
#,28755,,349.11,331.65,381.40
,28760,,785.04,745.79,857.66
#,28760,,590.74,561.20,645.38
,28800,,552.67,525.04,603.80
,28805,,746.82,709.48,815.90
,28810,,447.54,425.16,488.93
,28820,,309.45,293.98,338.08
#,28820,,188.09,178.69,205.49
,28825,,302.12,287.01,330.06
#,28825,,181.43,172.36,198.21
,28890,,316.07,300.27,345.31
#,28890,,227.32,215.95,248.34
,29000,,381.21,362.15,416.47
#,29000,,220.86,209.82,241.29
,29010,,287.88,273.49,314.51
#,29010,,170.89,162.35,186.70
,29015,,310.09,294.59,338.78
#,29015,,192.77,183.13,210.60
,29035,,269.61,256.13,294.55
#,29035,,152.63,145.00,166.75
,29040,,308.21,292.80,336.72
#,29040,,183.83,174.64,200.84
,29044,,302.58,287.45,330.57
#,29044,,178.20,169.29,194.68
,29046,,331.60,315.02,362.27
#,29046,,200.16,190.15,218.67
,29049,,105.23,99.97,114.97
#,29049,,73.96,70.26,80.80
,29055,,235.33,223.56,257.09
#,29055,,146.58,139.25,160.14
,29058,,131.38,124.81,143.53
#,29058,,100.12,95.11,109.38
,29065,,102.53,97.40,112.01
#,29065,,72.95,69.30,79.70
,29075,,93.20,88.54,101.82
#,29075,,67.31,63.94,73.53
,29085,,101.63,96.55,111.03
#,29085,,71.71,68.12,78.34
,29086,,79.09,75.14,86.41
#,29086,,51.19,48.63,55.92
,29105,,88.16,83.75,96.31
#,29105,,46.48,44.16,50.78
,29125,,69.67,66.19,76.12
#,29125,,43.11,40.95,47.09
,29126,,80.81,76.77,88.29
#,29126,,51.90,49.31,56.71
,29130,,44.79,42.55,48.93
#,29130,,32.02,30.42,34.98
,29131,,56.57,53.74,61.80
#,29131,,37.41,35.54,40.87
,29200,,33.17,31.51,36.24
#,29200,,19.05,18.10,20.82
,29240,,30.82,29.28,33.67
#,29240,,18.72,17.78,20.45
,29260,,30.61,29.08,33.44
#,29260,,20.19,19.18,22.06
,29280,,30.94,29.39,33.80
#,29280,,20.86,19.82,22.79
,29305,,261.08,248.03,285.23
#,29305,,168.64,160.21,184.24
,29325,,288.19,273.78,314.85
#,29325,,188.69,179.26,206.15
,29345,,143.74,136.55,157.03
#,29345,,106.42,101.10,116.27
,29355,,150.95,143.40,164.91
#,29355,,113.64,107.96,124.15
,29358,,169.75,161.26,185.45
#,29358,,110.25,104.74,120.45
,29365,,130.99,124.44,143.11
#,29365,,93.01,88.36,101.61
,29405,,83.65,79.47,91.39
#,29405,,61.47,58.40,67.16
,29425,,78.15,74.24,85.38
#,29425,,56.64,53.81,61.88
,29435,,121.23,115.17,132.45
#,29435,,85.93,81.63,93.87
,29440,,43.77,41.58,47.82
#,29440,,28.64,27.21,31.29
,29445,,133.26,126.60,145.59
#,29445,,102.67,97.54,112.17
,29450,,152.20,144.59,166.28
#,29450,,118.92,112.97,129.92
,29505,,92.36,87.74,100.90
#,29505,,55.05,52.30,60.15
,29515,,75.00,71.25,81.94
#,29515,,52.14,49.53,56.96
,29520,,35.53,33.75,38.81
#,29520,,18.72,17.78,20.45
,29530,,30.48,28.96,33.30
#,29530,,18.72,17.78,20.45
,29540,,29.26,27.80,31.97
#,29540,,18.51,17.58,20.22
,29550,,19.69,18.71,21.52
#,29550,,11.62,11.04,12.70
,29580,,65.29,62.03,71.33
#,29580,,27.98,26.58,30.57
,29581,,90.15,85.64,98.49
#,29581,,26.95,25.60,29.44
,29584,,82.68,78.55,90.33
#,29584,,16.12,15.31,17.61
,29700,,65.31,62.04,71.35
#,29700,,35.40,33.63,38.67
,29705,,66.16,62.85,72.28
#,29705,,47.67,45.29,52.08
,29710,,129.94,123.44,141.96
#,29710,,88.93,84.48,97.15
,29720,,90.13,85.62,98.46
#,29720,,47.10,44.75,51.46
,29730,,67.17,63.81,73.38
#,29730,,47.33,44.96,51.70
,29740,,104.86,99.62,114.56
#,29740,,74.27,70.56,81.14
,29750,,113.99,108.29,124.53
#,29750,,83.07,78.92,90.76
,29800,,571.29,542.73,624.14
,29804,,620.53,589.50,677.93
,29805,,504.40,479.18,551.06
,29806,,1138.29,1081.38,1243.59
,29807,,1113.47,1057.80,1216.47
,29819,,631.81,600.22,690.25
,29820,,574.08,545.38,627.19
,29821,,639.59,607.61,698.75
,29822,,582.10,553.00,635.95
,29823,,638.60,606.67,697.67
,29824,,728.85,692.41,796.27
,29825,,631.81,600.22,690.25
,29826,,185.92,176.62,203.11
,29827,,1150.78,1093.24,1257.23
,29828,,985.57,936.29,1076.73
,29830,,486.24,461.93,531.22
,29834,,529.75,503.26,578.75
,29835,,549.47,522.00,600.30
,29836,,630.09,598.59,688.38
,29837,,567.73,539.34,620.24
,29838,,640.13,608.12,699.34
,29840,,484.51,460.28,529.32
,29843,,524.99,498.74,573.55
,29844,,537.61,510.73,587.34
,29845,,631.77,600.18,690.21
,29846,,562.75,534.61,614.80
,29847,,587.92,558.52,642.30
,29848,,549.45,521.98,600.28
,29850,,673.60,639.92,735.91
,29851,,1003.16,953.00,1095.95
,29855,,840.58,798.55,918.33
,29856,,1070.90,1017.36,1169.96
,29860,,691.25,656.69,755.19
,29861,,765.90,727.61,836.75
,29862,,873.10,829.45,953.87
,29863,,871.99,828.39,952.65
,29866,,1133.46,1076.79,1238.31
,29867,,1377.83,1308.94,1505.28
,29868,,1800.06,1710.06,1966.57
,29870,,580.82,551.78,634.55
#,29870,,436.27,414.46,476.63
,29871,,555.54,527.76,606.92
,29873,,574.41,545.69,627.54
,29874,,576.66,547.83,630.00
,29875,,534.60,507.87,584.05
,29876,,702.71,667.57,767.71
,29877,,668.99,635.54,730.87
,29879,,712.74,677.10,778.67
,29880,,605.45,575.18,661.46
,29881,,582.10,553.00,635.95
,29882,,742.64,705.51,811.34
,29883,,909.69,864.21,993.84
,29884,,667.08,633.73,728.79
,29885,,815.31,774.54,890.72
,29886,,687.02,652.67,750.57
,29887,,812.04,771.44,887.16
,29888,,1049.08,996.63,1146.12
,29889,,1318.95,1253.00,1440.95
,29891,,713.56,677.88,779.56
,29892,,677.61,643.73,740.29
,29893,,679.83,645.84,742.72
#,29893,,450.56,428.03,492.23
,29894,,528.83,502.39,577.75
,29895,,492.05,467.45,537.57
,29897,,530.84,504.30,579.95
,29898,,596.55,566.72,651.73
,29899,,1078.27,1024.36,1178.01
,29900,,542.25,515.14,592.41
,29901,,582.07,552.97,635.92
,29902,,618.16,587.25,675.34
,29904,,690.10,655.60,753.94
,29905,,532.35,505.73,581.59
,29906,,681.52,647.44,744.56
,29907,,946.05,898.75,1033.56
,29914,,1069.15,1015.69,1168.04
,29915,,1094.96,1040.21,1196.24
,29916,,1095.97,1041.17,1197.35
,30000,,278.42,264.50,304.18
#,30000,,128.15,121.74,140.00
,30020,,281.44,267.37,307.48
#,30020,,129.16,122.70,141.11
,30100,,146.55,139.22,160.10
#,30100,,70.92,67.37,77.48
,30110,,258.87,245.93,282.82
#,30110,,139.53,132.55,152.43
,30115,,493.49,468.82,539.14
,30117,,999.43,949.46,1091.88
#,30117,,349.29,331.83,381.60
,30118,,842.42,800.30,920.35
,30120,,534.04,507.34,583.44
#,30120,,442.61,420.48,483.55
,30124,,320.58,304.55,350.23
,30125,,694.62,659.89,758.87
,30130,,438.11,416.20,478.63
,30140,,311.56,295.98,340.38
#,30140,,189.53,180.05,207.06
,30150,,855.14,812.38,934.24
,30160,,864.52,821.29,944.48
,30200,,115.69,109.91,126.40
#,30200,,62.58,59.45,68.37
,30210,,157.50,149.63,172.07
#,30210,,108.42,103.00,118.45
,30220,,316.43,300.61,345.70
#,30220,,134.57,127.84,147.02
,30300,,218.34,207.42,238.53
#,30300,,130.26,123.75,142.31
,30310,,218.53,207.60,238.74
,30320,,515.28,489.52,562.95
,30400,,1301.18,1236.12,1421.54
,30410,,1501.24,1426.18,1640.11
,30420,,1540.44,1463.42,1682.93
,30430,,1134.26,1077.55,1239.18
,30435,,1420.21,1349.20,1551.58
,30450,,1864.51,1771.28,2036.97
,30460,,886.84,842.50,968.88
,30462,,1705.28,1620.02,1863.02
,30465,,1089.71,1035.22,1190.50
,30468,,2616.21,2485.40,2858.21
#,30468,,179.71,170.72,196.33
,30469,,2548.06,2420.66,2783.76
#,30469,,159.30,151.34,174.04
,30520,,712.66,677.03,778.58
,30540,,782.45,743.33,854.83
,30545,,1063.89,1010.70,1162.31
,30560,,334.83,318.09,365.80
#,30560,,157.67,149.79,172.26
,30580,,633.35,601.68,691.93
#,30580,,480.74,456.70,525.21
,30600,,535.04,508.29,584.53
#,30600,,400.24,380.23,437.26
,30620,,712.36,676.74,778.25
,30630,,711.09,675.54,776.87
,30801,,227.43,216.06,248.47
#,30801,,159.52,151.54,174.27
,30802,,290.61,276.08,317.49
#,30802,,213.63,202.95,233.39
,30901,,164.34,156.12,179.54
#,30901,,61.47,58.40,67.16
,30903,,256.49,243.67,280.22
#,30903,,84.04,79.84,91.82
,30905,,366.25,347.94,400.13
#,30905,,114.80,109.06,125.42
,30906,,388.58,369.15,424.52
#,30906,,142.85,135.71,156.07
,30915,,640.54,608.51,699.79
,30920,,927.69,881.31,1013.51
,30930,,124.06,117.86,135.54
,31000,,193.05,183.40,210.91
#,31000,,116.07,110.27,126.81
,31002,,199.89,189.90,218.39
,31020,,452.84,430.20,494.73
#,31020,,369.13,350.67,403.27
,31030,,662.45,629.33,723.73
#,31030,,534.37,507.65,583.80
,31032,,628.02,596.62,686.11
,31040,,853.81,811.12,932.79
,31050,,546.12,518.81,596.63
,31051,,733.92,697.22,801.80
,31070,,502.66,477.53,549.16
,31075,,876.79,832.95,957.89
,31080,,1154.81,1097.07,1261.63
,31081,,1238.69,1176.76,1353.27
,31084,,1281.64,1217.56,1400.19
,31085,,1323.70,1257.52,1446.15
,31086,,1248.84,1186.40,1364.36
,31087,,1190.99,1131.44,1301.16
,31090,,1169.06,1110.61,1277.20
,31200,,644.49,612.27,704.11
,31201,,842.79,800.65,920.75
,31205,,971.98,923.38,1061.89
,31225,,1912.49,1816.87,2089.40
,31230,,2136.48,2029.66,2334.11
,31231,,195.82,186.03,213.93
#,31231,,69.08,65.63,75.47
,31233,,285.82,271.53,312.26
#,31233,,142.62,135.49,155.81
,31235,,323.51,307.33,353.43
#,31235,,167.53,159.15,183.02
,31237,,268.72,255.28,293.57
#,31237,,169.22,160.76,184.87
,31238,,262.60,249.47,286.89
#,31238,,176.55,167.72,192.88
,31239,,632.29,600.68,690.78
,31240,,168.21,159.80,183.77
,31241,,472.20,448.59,515.88
,31253,,531.72,505.13,580.90
,31254,,459.12,436.16,501.58
#,31254,,257.76,244.87,281.60
,31255,,343.79,326.60,375.59
,31256,,191.13,181.57,208.81
,31257,,473.54,449.86,517.34
,31259,,501.17,476.11,547.53
,31267,,281.66,267.58,307.72
,31276,,401.40,381.33,438.53
,31287,,214.13,203.42,233.93
,31288,,248.97,236.52,272.00
,31290,,1220.37,1159.35,1333.25
,31291,,1306.66,1241.33,1427.53
,31292,,1058.70,1005.77,1156.64
,31293,,1144.49,1087.27,1250.36
,31294,,1308.08,1242.68,1429.08
,31295,,1716.59,1630.76,1875.37
#,31295,,166.89,158.55,182.33
,31296,,1744.20,1656.99,1905.54
#,31296,,190.46,180.94,208.08
,31297,,1701.95,1616.85,1859.38
#,31297,,152.58,144.95,166.69
,31298,,3230.53,3069.00,3529.35
#,31298,,272.31,258.69,297.49
,31300,,1323.12,1256.96,1445.50
,31360,,2180.13,2071.12,2381.79
,31365,,2695.35,2560.58,2944.67
,31367,,2303.03,2187.88,2516.06
,31368,,2547.57,2420.19,2783.22
,31370,,2159.11,2051.15,2358.82
,31375,,2052.02,1949.42,2241.83
,31380,,2023.05,1921.90,2210.19
,31382,,2216.15,2105.34,2421.14
,31390,,2971.02,2822.47,3245.84
,31395,,3116.36,2960.54,3404.62
,31400,,1067.58,1014.20,1166.33
,31420,,882.40,838.28,964.02
,31500,,150.87,143.33,164.83
,31502,,37.43,35.56,40.89
,31505,,93.78,89.09,102.45
#,31505,,51.42,48.85,56.18
,31510,,225.56,214.28,246.42
#,31510,,128.08,121.68,139.93
,31511,,220.60,209.57,241.01
#,31511,,141.61,134.53,154.71
,31512,,226.74,215.40,247.71
#,31512,,136.65,129.82,149.29
,31513,,138.00,131.10,150.77
,31515,,224.06,212.86,244.79
#,31515,,117.84,111.95,128.74
,31520,,164.94,156.69,180.19
,31525,,262.34,249.22,286.60
#,31525,,168.55,160.12,184.14
,31526,,165.85,157.56,181.19
,31527,,206.09,195.79,225.16
,31528,,152.90,145.26,167.05
,31529,,169.58,161.10,185.27
,31530,,211.30,200.74,230.85
,31531,,224.13,212.92,244.86
,31535,,199.22,189.26,217.65
,31536,,222.78,211.64,243.39
,31540,,255.70,242.92,279.36
,31541,,279.04,265.09,304.85
,31545,,382.75,363.61,418.15
,31546,,580.04,551.04,633.70
,31551,,1635.35,1553.58,1786.62
,31552,,1578.75,1499.81,1724.78
,31553,,1779.63,1690.65,1944.25
,31554,,1780.64,1691.61,1945.35
,31560,,330.68,314.15,361.27
,31561,,361.35,343.28,394.77
,31570,,361.18,343.12,394.59
#,31570,,243.19,231.03,265.68
,31571,,262.46,249.34,286.74
,31572,,545.86,518.57,596.36
#,31572,,191.21,181.65,208.90
,31573,,300.15,285.14,327.91
