NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
#,26750,,204.07,193.87,222.95
,26755,,342.25,325.14,373.91
#,26755,,295.36,280.59,322.68
,26756,,443.56,421.38,484.59
,26765,,527.68,501.30,576.50
,26770,,309.75,294.26,338.40
#,26770,,283.28,269.12,309.49
,26775,,416.82,395.98,455.38
#,26775,,376.00,357.20,410.78
,26776,,471.75,448.16,515.38
,26785,,576.29,547.48,629.60
,26820,,848.69,806.26,927.20
,26841,,785.49,746.22,858.15
,26842,,851.18,808.62,929.91
,26843,,797.81,757.92,871.61
,26844,,880.93,836.88,962.41
,26850,,746.80,709.46,815.88
,26852,,851.57,808.99,930.34
,26860,,615.94,585.14,672.91
,26861,,106.05,100.75,115.86
,26862,,779.39,740.42,851.48
,26863,,235.74,223.95,257.54
,26910,,778.37,739.45,850.37
,26951,,712.99,677.34,778.94
,26952,,695.44,660.67,759.77
,26990,,704.43,669.21,769.59
,26991,,712.37,676.75,778.26
#,26991,,549.40,521.93,600.22
,26992,,1046.08,993.78,1142.85
,27000,,397.30,377.44,434.06
,27001,,566.97,538.62,619.41
,27003,,630.70,599.17,689.05
,27005,,758.78,720.84,828.97
,27006,,738.11,701.20,806.38
,27025,,981.68,932.60,1072.49
,27027,,928.73,882.29,1014.63
,27030,,982.70,933.57,1073.61
,27033,,1021.12,970.06,1115.57
,27035,,1119.31,1063.34,1222.84
,27036,,1067.51,1014.13,1166.25
,27040,,336.37,319.55,367.48
#,27040,,206.25,195.94,225.33
,27041,,740.27,703.26,808.75
,27043,,499.97,474.97,546.22
,27045,,775.30,736.54,847.02
,27047,,503.34,478.17,549.90
#,27047,,381.51,362.43,416.79
,27048,,649.68,617.20,709.78
,27049,,1494.48,1419.76,1632.72
,27050,,428.31,406.89,467.92
,27052,,610.65,580.12,667.14
,27054,,724.37,688.15,791.37
,27057,,1057.72,1004.83,1155.55
,27059,,1916.82,1820.98,2094.13
,27060,,492.10,467.50,537.63
,27062,,475.79,452.00,519.80
,27065,,549.47,522.00,600.30
,27066,,859.80,816.81,939.33
,27067,,1086.65,1032.32,1187.17
,27070,,908.96,863.51,993.04
,27071,,1003.21,953.05,1096.01
,27075,,2180.91,2071.86,2382.64
,27076,,2635.00,2503.25,2878.74
,27077,,2939.53,2792.55,3211.43
,27078,,2151.07,2043.52,2350.05
,27080,,539.29,512.33,589.18
,27086,,307.86,292.47,336.34
#,27086,,175.82,167.03,192.08
,27087,,653.88,621.19,714.37
,27090,,869.45,825.98,949.88
,27091,,1669.30,1585.84,1823.72
,27093,,218.19,207.28,238.37
#,27093,,69.25,65.79,75.66
,27095,,292.76,278.12,319.84
#,27095,,83.85,79.66,91.61
,27096,,161.28,153.22,176.20
#,27096,,84.10,79.90,91.89
,27097,,719.85,683.86,786.44
,27098,,732.55,695.92,800.31
,27100,,872.31,828.69,952.99
,27105,,913.72,868.03,998.23
,27110,,1018.56,967.63,1112.77
,27111,,948.36,900.94,1036.08
,27120,,1360.65,1292.62,1486.51
,27122,,1156.22,1098.41,1263.17
,27125,,1186.64,1127.31,1296.41
,27130,,1346.87,1279.53,1471.46
,27132,,1750.42,1662.90,1912.34
,27134,,1995.35,1895.58,2179.92
,27137,,1536.27,1459.46,1678.38
,27138,,1596.10,1516.30,1743.75
,27140,,942.95,895.80,1030.17
,27146,,1341.51,1274.43,1465.59
,27147,,1533.09,1456.44,1674.91
,27151,,1657.38,1574.51,1810.69
,27156,,1786.56,1697.23,1951.81
,27158,,1466.87,1393.53,1602.56
,27161,,1279.20,1215.24,1397.53
,27165,,1433.50,1361.83,1566.10
,27170,,1228.74,1167.30,1342.40
,27175,,702.29,667.18,767.26
,27176,,968.61,920.18,1058.21
,27177,,1170.49,1111.97,1278.77
,27178,,968.61,920.18,1058.21
,27179,,1027.43,976.06,1122.47
,27181,,1175.24,1116.48,1283.95
,27185,,756.31,718.49,826.26
,27187,,1045.18,992.92,1141.86
,27197,,136.24,129.43,148.84
,27198,,331.76,315.17,362.45
,27200,,201.01,190.96,219.60
#,27200,,203.88,193.69,222.74
,27202,,556.53,528.70,608.01
,27220,,440.65,418.62,481.41
#,27220,,435.55,413.77,475.84
,27222,,1029.18,977.72,1124.38
,27226,,1104.85,1049.61,1207.05
,27227,,1730.75,1644.21,1890.84
,27228,,1967.28,1868.92,2149.26
,27230,,511.85,486.26,559.20
#,27230,,503.56,478.38,550.14
,27232,,772.50,733.88,843.96
,27235,,951.04,903.49,1039.01
,27236,,1249.65,1187.17,1365.25
,27238,,493.40,468.73,539.04
,27240,,1004.78,954.54,1097.72
,27244,,1286.76,1222.42,1405.78
,27245,,1284.70,1220.47,1403.54
,27246,,413.05,392.40,451.26
#,27246,,409.86,389.37,447.78
,27248,,782.17,743.06,854.52
,27250,,192.95,183.30,210.80
,27252,,785.64,746.36,858.31
,27253,,986.41,937.09,1077.65
,27254,,1332.59,1265.96,1455.85
,27256,,333.03,316.38,363.84
#,27256,,256.49,243.67,280.22
,27257,,380.07,361.07,415.23
,27258,,1165.68,1107.40,1273.51
,27259,,1617.88,1536.99,1767.54
,27265,,443.86,421.67,484.92
,27266,,611.39,580.82,667.94
,27267,,463.14,439.98,505.98
,27268,,575.17,546.41,628.37
,27269,,1301.94,1236.84,1422.37
,27275,,193.56,183.88,211.46
,27278,,11663.64,11080.46,12742.53
#,27278,,482.05,457.95,526.64
,27279,,844.08,801.88,922.16
,27280,,1475.87,1402.08,1612.39
,27282,,902.38,857.26,985.85
,27284,,1680.89,1596.85,1836.38
,27286,,1720.98,1634.93,1880.17
,27290,,1701.45,1616.38,1858.84
,27295,,1320.95,1254.90,1443.14
,27301,,688.22,653.81,751.88
#,27301,,535.77,508.98,585.33
,27303,,675.28,641.52,737.75
,27305,,509.17,483.71,556.27
,27306,,351.88,334.29,384.43
,27307,,420.75,399.71,459.67
,27310,,770.30,731.79,841.56
,27323,,270.86,257.32,295.92
#,27323,,179.64,170.66,196.26
,27324,,433.38,411.71,473.47
,27325,,594.03,564.33,648.98
,27326,,550.69,523.16,601.63
,27327,,499.11,474.15,545.27
#,27327,,330.72,314.18,361.31
,27328,,659.09,626.14,720.06
,27329,,1101.49,1046.42,1203.38
,27330,,445.56,423.28,486.77
,27331,,503.82,478.63,550.42
,27332,,680.62,646.59,743.58
,27333,,621.32,590.25,678.79
,27334,,723.48,687.31,790.41
,27335,,805.65,765.37,880.18
,27337,,446.16,423.85,487.43
,27339,,799.03,759.08,872.94
,27340,,394.30,374.59,430.78
,27345,,514.07,488.37,561.63
,27347,,555.53,527.75,606.91
,27350,,687.98,653.58,751.62
,27355,,642.19,610.08,701.59
,27356,,779.50,740.53,851.61
,27357,,856.43,813.61,935.65
,27358,,287.10,272.75,313.66
,27360,,937.59,890.71,1024.32
,27364,,1651.89,1569.30,1804.70
,27365,,2152.50,2044.88,2351.61
,27369,,167.04,158.69,182.49
#,27369,,41.06,39.01,44.86
,27372,,594.95,565.20,649.98
#,27372,,421.77,400.68,460.78
,27380,,646.48,614.16,706.28
,27381,,855.61,812.83,934.75
,27385,,629.15,597.69,687.34
,27386,,892.47,847.85,975.03
,27390,,476.14,452.33,520.18
,27391,,610.28,579.77,666.74
,27392,,751.05,713.50,820.53
,27393,,528.28,501.87,577.15
,27394,,690.75,656.21,754.64
,27395,,926.18,879.87,1011.85
,27396,,651.92,619.32,712.22
,27397,,962.27,914.16,1051.28
,27400,,732.88,696.24,800.68
,27403,,679.58,645.60,742.44
,27405,,709.72,674.23,775.36
,27407,,838.89,796.95,916.49
,27409,,1015.10,964.35,1109.00
,27412,,1727.69,1641.31,1887.51
,27415,,1439.40,1367.43,1572.54
,27416,,1030.47,978.95,1125.79
,27418,,853.52,810.84,932.47
,27420,,784.55,745.32,857.12
,27422,,781.88,742.79,854.21
,27424,,789.14,749.68,862.13
,27425,,478.39,454.47,522.64
,27427,,742.31,705.19,810.97
,27428,,1172.47,1113.85,1280.93
,27429,,1322.23,1256.12,1444.54
,27430,,779.62,740.64,851.74
,27435,,846.97,804.62,925.31
,27437,,695.61,660.83,759.95
,27438,,883.75,839.56,965.49
,27440,,839.65,797.67,917.32
,27441,,866.90,823.56,947.09
,27442,,916.20,870.39,1000.95
,27443,,858.78,815.84,938.22
,27445,,1315.30,1249.54,1436.97
,27446,,1203.71,1143.52,1315.05
,27447,,1345.04,1277.79,1469.46
,27448,,870.68,827.15,951.22
,27450,,1055.35,1002.58,1152.97
,27454,,1356.54,1288.71,1482.02
,27455,,1006.07,955.77,1099.14
,27457,,1003.06,952.91,1095.85
,27465,,1308.97,1243.52,1430.05
,27466,,1241.98,1179.88,1356.86
,27468,,1406.21,1335.90,1536.29
,27470,,1236.72,1174.88,1351.11
,27472,,1325.86,1259.57,1448.51
,27475,,698.08,663.18,762.66
,27477,,773.31,734.64,844.84
,27479,,964.99,916.74,1054.25
,27485,,709.01,673.56,774.59
,27486,,1472.10,1398.50,1608.28
,27487,,1835.97,1744.17,2005.80
,27488,,1258.33,1195.41,1374.72
,27495,,1184.84,1125.60,1294.44
,27496,,578.51,549.58,632.02
,27497,,612.19,581.58,668.82
,27498,,693.07,658.42,757.18
,27499,,738.59,701.66,806.91
,27500,,549.57,522.09,600.40
#,27500,,506.84,481.50,553.73
,27501,,531.79,505.20,580.98
#,27501,,525.41,499.14,574.01
,27502,,795.93,756.13,869.55
,27503,,841.58,799.50,919.43
,27506,,1401.84,1331.75,1531.51
,27507,,1015.89,965.10,1109.87
#,27508,,526.40,500.08,575.09
,27508,,554.47,526.75,605.76
,27509,,703.59,668.41,768.67
,27510,,718.20,682.29,784.63
,27511,,1042.76,990.62,1139.21
,27513,,1293.28,1228.62,1412.91
,27514,,1013.47,962.80,1107.22
,27516,,547.30,519.94,597.93
#,27516,,513.81,488.12,561.34
,27517,,729.10,692.65,796.55
,27519,,935.29,888.53,1021.81
,27520,,345.02,327.77,376.94
#,27520,,319.82,303.83,349.40
,27524,,791.85,752.26,865.10
,27530,,324.73,308.49,354.76
#,27530,,305.92,290.62,334.21
,27532,,654.57,621.84,715.12
#,27532,,613.11,582.45,669.82
,27535,,940.80,893.76,1027.82
,27536,,1245.23,1182.97,1360.42
,27538,,508.95,483.50,556.03
#,27538,,475.46,451.69,519.44
,27540,,856.42,813.60,935.64
,27550,,541.75,514.66,591.86
#,27550,,499.33,474.36,545.51
,27552,,668.04,634.64,729.84
,27556,,918.27,872.36,1003.21
,27557,,1094.57,1039.84,1195.82
,27558,,1246.04,1183.74,1361.30
,27560,,396.04,376.24,432.68
#,27560,,363.19,345.03,396.78
,27562,,519.43,493.46,567.48
,27566,,938.61,891.68,1025.43
,27570,,162.11,154.00,177.10
,27580,,1538.34,1461.42,1680.63
,27590,,831.47,789.90,908.39
,27591,,1013.14,962.48,1106.85
,27592,,715.12,679.36,781.26
,27594,,532.01,505.41,581.22
,27596,,751.32,713.75,820.81
,27598,,737.10,700.25,805.29
,27600,,421.46,400.39,460.45
,27601,,457.29,434.43,499.59
,27602,,505.85,480.56,552.64
,27603,,524.36,498.14,572.86
#,27603,,401.57,381.49,438.71
,27604,,465.34,442.07,508.38
#,27604,,345.74,328.45,377.72
,27605,,320.71,304.67,350.37
#,27605,,186.12,176.81,203.33
,27606,,280.66,266.63,306.62
,27607,,623.74,592.55,681.43
,27610,,673.43,639.76,735.72
,27612,,595.64,565.86,650.74
,27613,,251.11,238.55,274.33
#,27613,,165.95,157.65,181.30
,27614,,584.79,555.55,638.88
#,27614,,426.91,405.56,466.39
,27615,,1065.83,1012.54,1164.42
,27616,,1312.58,1246.95,1433.99
,27618,,483.82,459.63,528.57
#,27618,,319.57,303.59,349.13
,27619,,485.75,461.46,530.68
,27620,,465.69,442.41,508.77
,27625,,589.94,560.44,644.51
,27626,,634.41,602.69,693.09
,27630,,538.76,511.82,588.59
#,27630,,371.31,352.74,405.65
,27632,,431.68,410.10,471.62
,27634,,702.69,667.56,767.69
,27635,,600.65,570.62,656.21
,27637,,784.36,745.14,856.91
,27638,,777.25,738.39,849.15
,27640,,861.44,818.37,941.13
,27641,,681.50,647.43,744.54
,27645,,1852.12,1759.51,2023.44
,27646,,1608.61,1528.18,1757.41
,27647,,1004.64,954.41,1097.57
,27648,,199.59,189.61,218.05
#,27648,,53.20,50.54,58.12
,27650,,681.66,647.58,744.72
,27652,,686.21,651.90,749.69
,27654,,742.16,705.05,810.81
,27656,,516.97,491.12,564.79
#,27656,,347.30,329.94,379.43
,27658,,383.05,363.90,418.49
,27659,,486.71,462.37,531.73
,27664,,368.97,350.52,403.10
,27665,,430.79,409.25,470.64
,27675,,513.21,487.55,560.68
,27676,,635.06,603.31,693.81
,27680,,438.69,416.76,479.27
,27681,,529.20,502.74,578.15
,27685,,654.65,621.92,715.21
#,27685,,479.56,455.58,523.92
,27686,,549.12,521.66,599.91
,27687,,469.59,446.11,513.03
,27690,,659.90,626.91,720.95
,27691,,771.67,733.09,843.05
,27692,,106.76,101.42,116.63
,27695,,503.61,478.43,550.19
,27696,,564.66,536.43,616.89
,27698,,661.38,628.31,722.56
,27700,,748.43,711.01,817.66
,27702,,1002.06,951.96,1094.75
,27703,,1161.60,1103.52,1269.05
,27704,,587.70,558.32,642.07
,27705,,775.10,736.35,846.80
,27707,,422.22,401.11,461.28
,27709,,1189.70,1130.22,1299.75
,27712,,1156.51,1098.68,1263.48
,27715,,1123.80,1067.61,1227.75
,27720,,913.67,867.99,998.19
,27722,,940.15,893.14,1027.11
,27724,,1314.68,1248.95,1436.29
,27725,,1275.05,1211.30,1393.00
,27726,,1003.10,952.95,1095.89
,27727,,1089.98,1035.48,1190.80
,27730,,619.64,588.66,676.96
,27732,,478.50,454.58,522.77
,27734,,693.00,658.35,757.10
,27740,,745.62,708.34,814.59
,27742,,817.33,776.46,892.93
,27745,,767.00,728.65,837.95
,27750,,367.44,349.07,401.43
#,27750,,341.92,324.82,373.54
,27752,,564.55,536.32,616.77
#,27752,,518.30,492.39,566.25
,27756,,619.19,588.23,676.46
,27758,,939.57,892.59,1026.48
,27759,,1046.33,994.01,1143.11
,27760,,352.30,334.69,384.89
#,27760,,326.14,309.83,356.30
,27762,,511.92,486.32,559.27
#,27762,,464.72,441.48,507.70
,27766,,632.37,600.75,690.86
,27767,,307.35,291.98,335.78
#,27767,,307.99,292.59,336.48
,27768,,474.28,450.57,518.16
,27769,,760.98,722.93,831.37
,27780,,327.46,311.09,357.75
#,27780,,302.58,287.45,330.57
,27781,,461.50,438.43,504.19
#,27781,,426.73,405.39,466.20
,27784,,743.60,706.42,812.38
,27786,,329.00,312.55,359.43
#,27786,,302.21,287.10,330.17
,27788,,448.77,426.33,490.28
#,27788,,407.62,387.24,445.33
,27792,,670.85,637.31,732.91
,27808,,354.43,336.71,387.22
#,27808,,323.81,307.62,353.76
,27810,,502.20,477.09,548.65
#,27810,,454.36,431.64,496.39
,27814,,797.27,757.41,871.02
,27816,,349.82,332.33,382.18
#,27816,,312.51,296.88,341.41
,27818,,522.80,496.66,571.16
#,27818,,468.58,445.15,511.92
,27822,,902.82,857.68,986.33
,27823,,1019.50,968.53,1113.81
,27824,,334.08,317.38,364.99
#,27824,,324.19,307.98,354.18
,27825,,578.87,549.93,632.42
#,27825,,524.34,498.12,572.84
,27826,,880.54,836.51,961.99
,27827,,1163.41,1105.24,1271.03
,27828,,1375.36,1306.59,1502.58
,27829,,728.67,692.24,796.08
,27830,,413.01,392.36,451.21
#,27830,,383.35,364.18,418.81
,27831,,433.81,412.12,473.94
,27832,,798.76,758.82,872.64
,27840,,411.18,390.62,449.21
,27842,,518.89,492.95,566.89
,27846,,756.21,718.40,826.16
,27848,,830.20,788.69,906.99
,27860,,169.15,160.69,184.79
,27870,,1047.80,995.41,1144.72
,27871,,719.55,683.57,786.11
,27880,,952.10,904.50,1040.18
,27881,,873.78,830.09,954.60
,27882,,626.90,595.56,684.89
,27884,,610.47,579.95,666.94
,27886,,684.52,650.29,747.83
,27888,,614.57,583.84,671.42
,27889,,674.70,640.97,737.12
,27892,,568.58,540.15,621.17
,27893,,645.89,613.60,705.64
,27894,,865.68,822.40,945.76
,28001,,167.23,158.87,182.70
#,28001,,96.74,91.90,105.69
,28002,,239.72,227.73,261.89
#,28002,,141.49,134.42,154.58
,28003,,373.22,354.56,407.74
#,28003,,261.59,248.51,285.79
,28005,,580.41,551.39,634.10
,28008,,420.71,399.67,459.62
#,28008,,299.51,284.53,327.21
,28010,,235.27,223.51,257.04
#,28010,,211.35,200.78,230.90
,28011,,319.36,303.39,348.90
#,28011,,285.24,270.98,311.63
,28020,,529.47,503.00,578.45
#,28020,,371.91,353.31,406.31
,28022,,479.65,455.67,524.02
#,28022,,334.21,317.50,365.13
,28024,,457.73,434.84,500.07
#,28024,,317.40,301.53,346.76
,28035,,528.80,502.36,577.71
#,28035,,371.88,353.29,406.28
,28039,,467.61,444.23,510.86
#,28039,,343.22,326.06,374.97
,28041,,460.28,437.27,502.86
,28043,,375.00,356.25,409.69
#,28043,,264.97,251.72,289.48
,28045,,477.05,453.20,521.18
#,28045,,355.21,337.45,388.07
,28046,,724.87,688.63,791.92
,28047,,1078.96,1025.01,1178.76
,28050,,407.14,386.78,444.80
#,28050,,282.44,268.32,308.57
,28052,,379.30,360.34,414.39
#,28052,,257.79,244.90,281.64
,28054,,357.51,339.63,390.57
#,28054,,237.27,225.41,259.22
,28055,,397.19,377.33,433.93
,28060,,510.33,484.81,557.53
#,28060,,367.45,349.08,401.44
,28062,,577.53,548.65,630.95
#,28062,,416.15,395.34,454.64
,28070,,504.59,479.36,551.26
#,28070,,353.73,336.04,386.45
,28072,,484.14,459.93,528.92
#,28072,,333.28,316.62,364.11
,28080,,530.30,503.79,579.36
#,28080,,388.38,368.96,424.30
,28086,,512.93,487.28,560.37
#,28086,,356.33,338.51,389.29
,28088,,456.39,433.57,498.61
#,28088,,302.03,286.93,329.97
,28090,,458.38,435.46,500.78
#,28090,,315.50,299.73,344.69
,28092,,413.81,393.12,452.09
#,28092,,277.62,263.74,303.30
,28100,,611.06,580.51,667.59
#,28100,,431.82,410.23,471.76
,28102,,643.83,611.64,703.39
,28103,,391.69,372.11,427.93
,28104,,523.00,496.85,571.38
#,28104,,365.45,347.18,399.26
,28106,,431.35,409.78,471.25
,28107,,499.62,474.64,545.84
#,28107,,351.95,334.35,384.50
,28108,,426.77,405.43,466.24
#,28108,,294.09,279.39,321.30
,28110,,455.81,433.02,497.97
#,28110,,301.77,286.68,329.68
,28111,,466.76,443.42,509.93
#,28111,,324.83,308.59,354.88
,28112,,474.29,450.58,518.17
#,28112,,320.24,304.23,349.86
,28113,,577.94,549.04,631.40
#,28113,,435.05,413.30,475.30
,28114,,1072.17,1018.56,1171.34
#,28114,,861.67,818.59,941.38
,28116,,673.74,640.05,736.06
#,28116,,527.03,500.68,575.78
,28118,,604.53,574.30,660.45
#,28118,,436.77,414.93,477.17
,28119,,518.80,492.86,566.79
#,28119,,371.77,353.18,406.16
,28120,,666.31,632.99,727.94
#,28120,,507.16,481.80,554.07
,28122,,587.60,558.22,641.95
#,28122,,448.22,425.81,489.68
,28124,,470.83,447.29,514.38
#,28124,,341.34,324.27,372.91
,28126,,382.16,363.05,417.51
#,28126,,254.58,241.85,278.13
,28130,,645.50,613.23,705.21
,28140,,565.68,537.40,618.01
#,28140,,435.55,413.77,475.84
,28150,,411.18,390.62,449.21
#,28150,,285.20,270.94,311.58
,28153,,393.50,373.83,429.90
#,28153,,266.88,253.54,291.57
,28160,,399.91,379.91,436.90
#,28160,,272.02,258.42,297.18
,28171,,1161.57,1103.49,1269.01
,28173,,732.14,695.53,799.86
,28175,,473.88,450.19,517.72
,28190,,232.60,220.97,254.12
#,28190,,134.05,127.35,146.45
,28192,,451.57,428.99,493.34
#,28192,,316.98,301.13,346.30
,28193,,511.27,485.71,558.57
#,28193,,369.34,350.87,403.50
,28200,,487.42,463.05,532.51
#,28200,,334.33,317.61,365.25
,28202,,596.70,566.87,651.90
#,28202,,440.10,418.10,480.82
,28208,,475.81,452.02,519.82
#,28208,,327.82,311.43,358.14
,28210,,582.43,553.31,636.31
#,28210,,429.98,408.48,469.75
,28220,,441.07,419.02,481.87
#,28220,,310.63,295.10,339.37
,28222,,530.62,504.09,579.70
#,28222,,377.84,358.95,412.79
,28225,,405.84,385.55,443.38
#,28225,,270.61,257.08,295.64
,28226,,616.69,585.86,673.74
#,28226,,418.63,397.70,457.36
,28230,,425.28,404.02,464.62
#,28230,,291.01,276.46,317.93
,28232,,366.88,348.54,400.82
#,28232,,243.77,231.58,266.32
,28234,,402.44,382.32,439.67
#,28234,,275.19,261.43,300.64
,28238,,660.54,627.51,721.64
#,28238,,494.70,469.97,540.47
,28240,,435.23,413.47,475.49
#,28240,,300.32,285.30,328.10
,28250,,588.06,558.66,642.46
#,28250,,426.68,405.35,466.15
,28260,,723.83,687.64,790.79
#,28260,,553.83,526.14,605.06
,28261,,1099.77,1044.78,1201.50
#,28261,,884.17,839.96,965.95
,28262,,1413.31,1342.64,1544.04
#,28262,,1162.31,1104.19,1269.82
,28264,,903.36,858.19,986.92
#,28264,,711.68,676.10,777.52
,28270,,479.56,455.58,523.92
#,28270,,341.14,324.08,372.69
,28272,,372.53,353.90,406.99
#,28272,,253.56,240.88,277.01
,28280,,490.14,465.63,535.47
#,28280,,346.62,329.29,378.68
,28285,,535.25,508.49,584.76
#,28285,,396.19,376.38,432.84
,28286,,430.26,408.75,470.06
#,28286,,299.50,284.53,327.21
,28288,,593.83,564.14,648.76
#,28288,,442.33,420.21,483.24
,28289,,679.98,645.98,742.88
#,28289,,473.31,449.64,517.09
,28291,,671.53,637.95,733.64
#,28291,,483.99,459.79,528.76
,28292,,689.55,655.07,753.33
#,28292,,495.32,470.55,541.13
,28295,,1017.21,966.35,1111.30
#,28295,,614.71,583.97,671.57
,28296,,862.36,819.24,942.13
#,28296,,524.29,498.08,572.79
,28297,,993.23,943.57,1085.11
#,28297,,612.10,581.50,668.73
,28298,,816.22,775.41,891.72
#,28298,,518.33,492.41,566.27
,28299,,990.61,941.08,1082.24
#,28299,,609.48,579.01,665.86
,28300,,676.33,642.51,738.89
,28302,,753.18,715.52,822.85
,28304,,832.48,790.86,909.49
#,28304,,636.02,604.22,694.85
,28305,,693.91,659.21,758.09
,28306,,603.02,572.87,658.80
#,28306,,418.68,397.75,457.41
,28307,,788.63,749.20,861.58
#,28307,,544.32,517.10,594.67
,28308,,563.79,535.60,615.94
#,28308,,396.98,377.13,433.70
,28309,,937.52,890.64,1024.24
,28310,,544.46,517.24,594.83
#,28310,,375.74,356.95,410.49
,28312,,554.26,526.55,605.53
#,28312,,365.45,347.18,399.26
,28313,,528.51,502.08,577.39
#,28313,,374.78,356.04,409.45
,28315,,472.18,448.57,515.86
#,28315,,333.12,316.46,363.93
,28320,,637.03,605.18,695.96
,28322,,788.01,748.61,860.90
#,28322,,596.96,567.11,652.18
,28340,,559.06,531.11,610.78
#,28340,,412.99,392.34,451.19
,28341,,651.03,618.48,711.25
#,28341,,491.56,466.98,537.03
,28344,,410.02,389.52,447.95
#,28344,,282.76,268.62,308.91
,28345,,505.71,480.42,552.48
#,28345,,367.29,348.93,401.27
,28360,,1149.90,1092.41,1256.27
,28400,,257.29,244.43,281.09
#,28400,,239.75,227.76,261.92
,28405,,477.11,453.25,521.24
#,28405,,431.50,409.93,471.42
,28406,,615.08,584.33,671.98
,28415,,1157.63,1099.75,1264.71
,28420,,1351.41,1283.84,1476.42
,28430,,249.58,237.10,272.67
#,28430,,220.88,209.84,241.32
,28435,,389.92,370.42,425.98
#,28435,,348.14,330.73,380.34
,28436,,514.58,488.85,562.18
,28445,,1086.42,1032.10,1186.92
,28446,,1284.45,1220.23,1403.26
,28450,,218.88,207.94,239.13
#,28450,,199.11,189.15,217.52
,28455,,259.66,246.68,283.68
#,28455,,233.83,222.14,255.46
,28456,,380.72,361.68,415.93
,28465,,663.29,630.13,724.65
,28470,,224.94,213.69,245.74
#,28470,,212.82,202.18,232.51
,28475,,269.31,255.84,294.22
#,28475,,238.37,226.45,260.42
,28476,,399.71,379.72,436.68
,28485,,575.31,546.54,628.52
,28490,,146.68,139.35,160.25
#,28490,,129.77,123.28,141.77
,28495,,185.07,175.82,202.19
#,28495,,155.09,147.34,169.44
,28496,,497.90,473.01,543.96
#,28496,,285.81,271.52,312.25
,28505,,648.37,615.95,708.34
#,28505,,508.03,482.63,555.02
,28510,,125.39,119.12,136.99
,28515,,167.94,159.54,183.47
#,28515,,147.53,140.15,161.17
,28525,,556.13,528.32,607.57
#,28525,,411.65,391.07,449.73
,28530,,121.69,115.61,132.95
#,28530,,107.34,101.97,117.27
,28531,,321.18,305.12,350.89
#,28531,,184.35,175.13,201.40
,28540,,199.23,189.27,217.66
#,28540,,179.77,170.78,196.40
,28545,,324.94,308.69,354.99
#,28545,,286.67,272.34,313.19
,28546,,583.52,554.34,637.49
#,28546,,369.51,351.03,403.68
,28555,,851.33,808.76,930.07
#,28555,,672.41,638.79,734.61
,28570,,248.21,235.80,271.17
#,28570,,209.94,199.44,229.36
,28575,,397.95,378.05,434.76
#,28575,,359.04,341.09,392.25
,28576,,412.29,391.68,450.43
,28585,,911.95,866.35,996.30
#,28585,,734.30,697.59,802.23
,28600,,225.98,214.68,246.88
#,28600,,193.76,184.07,211.68
,28605,,359.61,341.63,392.87
#,28605,,323.25,307.09,353.15
,28606,,415.93,395.13,454.40
,28615,,853.43,810.76,932.37
,28630,,158.53,150.60,173.19
#,28630,,115.79,110.00,126.50
,28635,,172.85,164.21,188.84
#,28635,,133.62,126.94,145.98
,28636,,358.11,340.20,391.23
#,28636,,235.00,223.25,256.74
,28645,,647.82,615.43,707.74
#,28645,,497.92,473.02,543.97
,28660,,130.22,123.71,142.27
#,28660,,98.32,93.40,107.41
,28665,,152.14,144.53,166.21
#,28665,,127.58,121.20,139.38
,28666,,174.83,166.09,191.00
,28675,,570.86,542.32,623.67
#,28675,,424.15,402.94,463.38
,28705,,1261.24,1198.18,1377.91
,28715,,977.10,928.25,1067.49
,28725,,805.86,765.57,880.41
,28730,,747.51,710.13,816.65
,28735,,805.15,764.89,879.62
,28737,,704.60,669.37,769.78
,28740,,824.31,783.09,900.55
#,28740,,632.63,601.00,691.15
,28750,,775.55,736.77,847.29
#,28750,,589.61,560.13,644.15
,28755,,500.88,475.84,547.22
#,28755,,344.60,327.37,376.48
,28760,,764.41,726.19,835.12
#,28760,,582.61,553.48,636.50
,28800,,538.02,511.12,587.79
,28805,,721.91,685.81,788.68
,28810,,433.51,411.83,473.60
,28820,,292.70,278.07,319.78
#,28820,,181.39,172.32,198.17
,28825,,286.99,272.64,313.54
#,28825,,176.96,168.11,193.33
,28890,,305.46,290.19,333.72
#,28890,,224.45,213.23,245.21
,29000,,382.86,363.72,418.28
#,29000,,217.34,206.47,237.44
,29010,,289.11,274.65,315.85
#,29010,,168.23,159.82,183.79
,29015,,310.41,294.89,339.12
#,29015,,189.22,179.76,206.72
,29035,,272.14,258.53,297.31
#,29035,,150.94,143.39,164.90
,29040,,311.11,295.55,339.88
#,29040,,182.58,173.45,199.47
,29044,,304.05,288.85,332.18
#,29044,,175.52,166.74,191.75
,29046,,332.74,316.10,363.52
#,29046,,196.87,187.03,215.08
,29049,,104.58,99.35,114.25
#,29049,,73.00,69.35,79.75
,29055,,236.42,224.60,258.29
#,29055,,144.89,137.65,158.30
,29058,,130.22,123.71,142.27
#,29058,,98.65,93.72,107.78
,29065,,100.59,95.56,109.89
#,29065,,70.61,67.08,77.14
,29075,,91.92,87.32,100.42
#,29075,,65.77,62.48,71.85
,29085,,100.27,95.26,109.55
#,29085,,70.29,66.78,76.80
,29086,,78.39,74.47,85.64
#,29086,,49.37,46.90,53.94
