NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,0780T,,23.47,22.30,25.65
#,0780T,,9.02,8.57,9.86
,10004,,54.55,51.82,59.59
#,10004,,44.98,42.73,49.14
,10005,,131.85,125.26,144.05
#,10005,,73.80,70.11,80.63
,10006,,60.33,57.31,65.91
#,10006,,50.12,47.61,54.75
,10007,,296.35,281.53,323.76
#,10007,,91.28,86.72,99.73
,10008,,139.99,132.99,152.94
#,10008,,53.87,51.18,58.86
,10009,,406.40,386.08,443.99
#,10009,,108.83,103.39,118.90
,10010,,230.41,218.89,251.72
#,10010,,74.45,70.73,81.34
,10021,,100.44,95.42,109.73
#,10021,,56.74,53.90,61.99
,10030,,600.32,570.30,655.85
#,10030,,135.63,128.85,148.18
,10035,,339.93,322.93,371.37
#,10035,,83.82,79.63,91.57
,10036,,275.21,261.45,300.67
#,10036,,43.02,40.87,47.00
,10040,,113.86,108.17,124.40
#,10040,,52.62,49.99,57.49
,10060,,126.22,119.91,137.90
#,10060,,107.08,101.73,116.99
,10061,,213.85,203.16,233.63
#,10061,,185.78,176.49,202.96
,10080,,240.46,228.44,262.71
#,10080,,107.15,101.79,117.06
,10081,,337.25,320.39,368.45
#,10081,,178.42,169.50,194.93
,10120,,149.34,141.87,163.15
#,10120,,106.28,100.97,116.12
,10121,,264.30,251.09,288.75
#,10121,,187.75,178.36,205.11
,10140,,168.18,159.77,183.74
#,10140,,120.66,114.63,131.82
,10160,,129.18,122.72,141.13
#,10160,,97.92,93.02,106.97
,10180,,265.86,252.57,290.46
#,10180,,187.08,177.73,204.39
,11000,,57.41,54.54,62.72
#,11000,,26.79,25.45,29.27
,11001,,26.71,25.37,29.18
#,11001,,14.91,14.16,16.28
,11004,,594.04,564.34,648.99
,11005,,822.05,780.95,898.09
,11006,,740.08,703.08,808.54
,11008,,290.53,276.00,317.40
,11010,,443.37,421.20,484.38
#,11010,,285.50,271.23,311.91
,11011,,502.81,477.67,549.32
#,11011,,311.77,296.18,340.61
,11012,,652.58,619.95,712.94
#,11012,,432.51,410.88,472.51
,11042,,127.06,120.71,138.82
#,11042,,61.68,58.60,67.39
,11043,,233.73,222.04,255.35
#,11043,,158.78,150.84,173.47
,11044,,314.34,298.62,343.41
#,11044,,232.05,220.45,253.52
,11045,,39.89,37.90,43.59
#,11045,,25.53,24.25,27.89
,11046,,74.36,70.64,81.24
#,11046,,56.50,53.68,61.73
,11047,,125.05,118.80,136.62
#,11047,,101.45,96.38,110.84
,11055,,67.88,64.49,74.16
#,11055,,15.57,14.79,17.01
,11056,,79.04,75.09,86.35
#,11056,,22.27,21.16,24.33
,11057,,86.14,81.83,94.10
#,11057,,28.10,26.70,30.71
,11102,,96.19,91.38,105.09
#,11102,,37.50,35.63,40.97
,11103,,48.36,45.94,52.83
#,11103,,21.89,20.80,23.92
,11104,,120.51,114.48,131.65
#,11104,,47.48,45.11,51.88
,11105,,58.44,55.52,63.85
#,11105,,25.91,24.61,28.30
,11106,,150.03,142.53,163.91
#,11106,,57.53,54.65,62.85
,11107,,68.69,65.26,75.05
#,11107,,30.74,29.20,33.58
,11200,,91.33,86.76,99.77
#,11200,,76.66,72.83,83.75
,11201,,18.41,17.49,20.11
#,11201,,16.18,15.37,17.68
,11300,,95.84,91.05,104.71
#,11300,,33.96,32.26,37.10
,11301,,117.36,111.49,128.21
#,11301,,51.98,49.38,56.79
,11302,,133.23,126.57,145.56
#,11302,,60.51,57.48,66.10
,11303,,148.40,140.98,162.13
#,11303,,72.49,68.87,79.20
,11305,,100.73,95.69,110.04
#,11305,,37.26,35.40,40.71
,11306,,117.56,111.68,128.43
#,11306,,48.67,46.24,53.18
,11307,,133.63,126.95,145.99
#,11307,,62.19,59.08,67.94
,11308,,141.02,133.97,154.07
#,11308,,69.58,66.10,76.02
,11310,,111.09,105.54,121.37
#,11310,,45.39,43.12,49.59
,11311,,133.49,126.82,145.84
#,11311,,63.64,60.46,69.53
,11312,,151.93,144.33,165.98
#,11312,,75.39,71.62,82.36
,11313,,177.09,168.24,193.48
#,11313,,96.40,91.58,105.32
,11400,,126.04,119.74,137.70
#,11400,,85.54,81.26,93.45
,11401,,153.44,145.77,167.64
